fipe_code;model_year;fuel_code
005540-9;32000;5
001494-0;32000;5
015245-5;32000;5
004517-9;32000;5
001461-3;32000;5
025266-2;32000;5
095010-6;32000;4
011223-2;32000;5
014116-0;32000;5
002207-1;32000;5
004501-2;32000;5
002111-3;32000;5
005484-4;32000;5
015240-4;32000;5
001554-7;32000;5
014059-7;32000;5
095012-2;32000;6
023174-6;32000;5
095008-4;32000;4
023187-8;32000;1
005509-3;32000;5
015244-7;32000;5
002203-9;32000;5
014111-9;32000;5
004525-0;32000;5
017071-2;32000;5
001558-0;32000;5
023186-0;32000;5
005526-3;32000;5
001543-1;32000;5
001569-5;32000;5
005537-9;32000;5
002142-3;32000;5
001538-5;32000;5
003502-5;32000;5
004395-8;32000;5
083026-7;32000;5
004494-6;32000;5
004541-1;32000;5
001531-8;32000;5
